Respuesta;Enviado el:;Institución;Departamento;Curso;Grupo;ID;Nombre completo;Nombre de usuario;Q00_Group;Q00_equipment->We had sufficient amount of small lab equipment (e.g. pippettes, cuvettes,...);Q00_equipment->Access to general instruments/equipment (e.g. PCR, laminar flow hoods)  was limiting;Q00_equipment->Lab equipment was well mantained/modern;Q01_Length and schedule->The course is too long;Q01_Length and schedule->The period allocated for the course within the term is appropriate;Q01_Length and schedule->On average, the number of hours per day is sufficient;Q02_General methodology->student engagement;Q02_General methodology->course interest;Q02_General methodology->course usefulness;Q02_General methodology->demand on student's part;Q02_General methodology->course difficulty;Q03_method_objectives->State a hypothesis;Q03_method_objectives->Design an experimental strategy to answer specific biological questions;Q03_method_objectives->Identify cost-effective (time and money-wise) practical techniques to answer a given question;Q03_method_objectives->Write an experimental protocol including all relevant controls;Q03_method_objectives->Execute an experimental protocol;Q03_method_objectives->Record, analyze and interpret experimental results;Q03_method_objectives->Integrate information from other researchers and discuss your results within a larger context;Q03_method_objectives->Follow lab safety rules;Q03_method_objectives->Ability to work in a team;Q04_Activities interest->Introductory lecture (day 1);Q04_Activities interest->Stats Intro (day 2);Q04_Activities interest->Initial brainstorming session (day 2);Q04_Activities interest->Group meetings (experiment planning and design);Q04_Activities interest->Team feed-back session (propossal design);Q04_Activities interest->Final group discussion session (day before the last);Q04_Activities interest->Final class discussion session (last day);Q05_activities length->Introductory lecture (day 1);Q05_activities length->Stats Intro (day 2);Q05_activities length->Initial brainstorming session (day 2);Q05_activities length->Group meetings (experiment planning and design);Q05_activities length->Team feed-back sessions;Q05_activities length->Final group discussion session (day before the last);Q05_activities length->Final class discussion session (last day);Q06_Assessment Items 1->Safety and clean-up weekly evaluation;Q06_Assessment Items 1->Individual lab notebook evaluation (design);Q06_Assessment Items 1->Group lab notebook evaluation (design);Q06_Assessment Items 1->Group lab notebook evaluation (results);Q06_Assessment Items 1->Peer-evaluation (Team);Q06_Assessment Items 1->Final exam;Q07_Learning Objectives->State a hypothesis;Q07_Learning Objectives->Design an experimental strategy to answer specific biological questions;Q07_Learning Objectives->Identify cost-effective (time and money-wise) practical techniques to answer a given question;Q07_Learning Objectives->Write an experimental protocol including all relevant controls;Q07_Learning Objectives->Execute an experimental protocol;Q07_Learning Objectives->Record, analyze and interpret experimental results;Q07_Learning Objectives->Integrate information from other researchers and discuss your results within a larger context;Q07_Learning Objectives->Follow lab safety rules;Q07_Learning Objectives->Ability to work in a team;Q08_Best;Q09_Worst;Q10_final_Open;Q11_On the Electronic Note Book->-I knew OneNote before the course.;Q11_On the Electronic Note Book->-I find OneNote a useful app for the elaboration of the course Notebook.;Q11_On the Electronic Note Book->-I think we had enough previous information about the use of OneNote for the course laboratory notebook.;Q11_On the Electronic Note Book->-I would prefer other applications like Evernote, Google Docs, or MS Word.;Q11_On the Electronic Note Book->-The structure of the Notebook in Sections, Pages, and Subpages was easy to understand and use.;Q11_On the Electronic Note Book->-I would recommend to use OneNote for the ELN next year.;Q12_On the Electronic Note Book->-It overall allowed us to save time through the whole course.;Q12_On the Electronic Note Book->-It helped us in the preparation of the final version to be presented.;Q12_On the Electronic Note Book->-It made it easier working in groups.;Q12_On the Electronic Note Book->-It could be useful for other practical courses.;Q13_On the Electronic Note Book->-Synchronization issues hindered our team-working.;Q13_On the Electronic Note Book->-Conflicts of versions were very frequent.;Q13_On the Electronic Note Book->-Access to the ELN was slow.;Q13_On the Electronic Note Book->-We missed several word-processing features.;Q13_On the Electronic Note Book->-Some features of the application did not work properly.;Q14_On the Electronic Note Book->-The template helped us to prepare the final version of the notebook.;Q14_On the Electronic Note Book->-The structure of the template matches the evaluation rubric.;Q14_On the Electronic Note Book->-The structure of 4 independent notes helped to understand each step of the work in a research lab.;Q14_On the Electronic Note Book->-The word limit in some sections of the template is appropriate (1;Q14_On the Electronic Note Book->-We had to modify some sections of the template to suit our experimental work.;Q14_On the Electronic Note Book->-The template will facilitate an even evaluation.;Q14_On the Electronic Note Book->-The use of an ELN with OneNote in this course will help us in future laboratory work (TFG, TFM, etc.).;Q15_final_Open On the ELN;Q16_Project desing teams session;Q17
116691;21/12/2021 12:04:44;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo11;;1 : Biochemistry;4;4;5;4;4;4;2;3;2;2;3;4;3;3;4;2;3;3;4;2;2;3;3;4;3;3;3;2;3;2;2;2;1;3;4;3;3;4;-1;4;4;3;3;4;3;4;4;3;4;Aprender a realizar el experimento desde el principio de manera teórica en vez de sólo realizar la parte experimental como otros años. El apoyo de los becarios.  ;A lo mejor en vez de hacer las discusiones los últimos dias, hacer alguna entre medias del experimento porque en distintos puntos nos hemos dado cuenta muy tarde de que podríamos haber hecho cosas mejor, que ya era muy tarde para cambiar. ;;2;2;4;4;4;2;4;3;4;4;4;3;3;3;4;3;2;3;4;3;2;2;;Te dan puntos de vista distintos de los que tu tienes, sobre todo cuando te enfocas tanto en una sola parte del experimento que te olvidas de lo demás. Las discusiones entre personas que han hecho distintos experimentos y tienen otros puntos de vista son muy útiles.  ;Como ya he dicho, haberlas hecho al final cuando ya no puedes cambiar partes del experimento que entiendes que se habrían realizado mejor de otra manera.  
116646;21/12/2021 11:58:20;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo12;;2 : Metabolism;4;4;2;2;5;5;3;3;3;3;3;5;5;4;4;4;5;5;3;3;4;4;5;5;5;4;4;1;2;2;2;3;1;2;4;4;5;3;2;1;4;3;2;4;4;4;4;3;5;Aprender a trabajar de manera autónoma y con gente a la que no conoces tanto, adquirir soltura para trabajar en un laboratorio  ;Poca coordinación y organización entre los distintos grupos, la información dada por los profesores en cada grupo muchas veces es contradictoria  ;;2;3;3;4;2;3;4;4;5;4;5;3;5;1;3;4;4;3;3;5;4;4;Muchos puntos de la plantilla usada para el cuaderno son repetitivos y es difícil decidir qué aspectos redactar en cada apartado. La sincronización y modificación de los documentos en OneNote es muy lenta.  ;Ayuda a conocer los experimentos de cada grupo y aprender sobre más técnicas y aspectos de la vía estudiada.  ;Al no trabajar en los mismos experimentos, es muy difícil entender en una única sesión lo que ha realizado cada grupo.  
116692;21/12/2021 12:13:06;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo13;;3 : Transcription;4;2;3;2;5;4;3;3;3;3;2;4;5;5;5;3;3;4;3;4;4;2;5;4;4;4;3;2;1;3;1;2;2;2;4;-1;4;3;4;2;4;4;3;5;4;4;4;4;4;Diseñar nuestros propios experimentos y la libertad que teníamos en el laboratorio.;Hay veces sobre todo, en la semana que dedicamos al diseño experimental, que teníamos muchos tiempos muertos en el que requeríamos la ayuda de algún profesor para continuar y teníamos que esperar demasiado. En mi opinión podríamos haber comenzado antes a trabajar en el laboratorio.;Se podría avisar a los alumnos que fuesen pensando experimentos una vez decidido la rama a la que pertenecen para presentarlos el primer día. A nosotros nos pilló realmente un poco de sorpresa y creo que podríamos ahorrar mucho tiempo si hubiésemos llegado con eso hecho.  Creo que en general podríamos haber aprovechado mejor el tiempo si nos hubiésemos organizado mejor, por ejemplo, había veces que sabíamos que teníamos un ensayo que hacer y traíamos el protocolo hecho en base a la casa comercial de los compuestos, pero después al llegar a clase nos cambiaban el protocolo y teníamos que volver a hacerlo. Si esos cambios de protocolo nos los indicasen el día anterior a última hora, el día siguiente después de chequear que el protocolo está correcto podríamos entrar directos al laboratorio.  ;4;3;3;4;5;3;3;3;4;4;4;2;3;3;3;3;4;5;3;3;3;3;;;
116643;21/12/2021 12:01:43;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo14;;3 : Transcription;2;5;3;1;5;4;3;3;3;3;3;4;5;3;5;5;3;3;3;4;2;4;4;4;2;4;4;1;2;1;2;2;2;2;3;5;5;5;5;2;3;4;2;4;4;4;4;4;5;Llevar a cabo el desarrollo de un proyecto experimental en grupo de manera aproximada a la forma de trabajo de un laboratorio profesional. Diseño del experimento lo que permite un mayor grado de implicación.  ;Falta de tiempo para alcanzar los objetivos.  ;;4;3;2;4;2;3;2;1;4;3;4;4;2;4;2;3;3;4;3;4;4;4;Falta de ciertas características de Word, como por ejemplo, la posibilidad de recortar las fotos.;La posibilidad de decir nosotros mismos lo que queríamos estudiar acerca del tema propuesto. Además, fueron muy útiles las indicaciones de los profesores dentro de la libertad que teníamos para determinar lo que queríamos hacer.  ;
116686;21/12/2021 12:12:56;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo15;;2 : Metabolism;3;3;3;2;4;4;3;3;3;3;2;5;5;5;5;4;5;5;3;4;4;2;5;5;5;4;4;2;1;2;2;2;2;2;3;4;4;4;3;1;3;3;3;3;3;4;2;4;4;Los aspectos que he encontrado más positivos han sido la capacidad de trabajar en equipo, poniendo todo en común y ayudándonos a la hora de las tareas de laboratorio y en el razonamiento de nuestro experimento. Por otro lado, a diferencia de otras prácticas anteriores, estas me han servido para ver como se trabaja realmente en un laboratorio, y ver los procedimientos que hay que seguir: cómo plantear hipótesis, cómo desarrollar el experimento, cómo llevarlo a cabo... Muy útil para saber cómo se tiene que hacer un cuaderno de laboratorio.Además, me han servido para integrar mis conociemientos de una manera mucho más amplia.;El one note para realizar el cuaderno no me parece el mejor formato posible. En algunos momentos daba la impresión de que había pocos profesores de prácticas para todos los subgrupos y la supervisión podría haber sido algo mayor.;La labor de los ayudantes de tesis en nuestro laboratorio ha sido muy buena, ayudándonos en todo lo que han podido y resolviendo muchos problemas.;1;2;2;4;3;2;3;3;4;3;4;2;2;3;4;2;3;3;3;4;2;3;El formato no era demasiado bueno a la hora de escribir varias personas a la vez. Tampoco es bueno para pasar información, ya sean textos o imágenes, desde otros documentos al one note. La información no se guardaba correctamente en algunas ocasiones.;Las sesiones de diseño del experimento los primeros días fueron muy útiles a la hora de realizar un primer enfoque de nuestro experimento y hacia donde queríamos que fueran nuestros experimentos. Nos sirvió para integrar y poner cosas en común, de forma que así nos resultó más sencillo plantearnos las preguntas, hipótesis y objetivos.;Las sesiones de diseño del experimento fueron muy útiles.Por sacar algún aspecto negativo, a la hora de plantear nuestras hipótesis, al final tuvimos algo menos de libertad de la que esperábamos a la hora de elegir como enfocar nuestro experimento y sobre qué queríamos que tratase ,ya que los profesores supervisores de las prácticas nos guiaron y nos fueron llevando un poco hacia donde ellos querían, por eso varios experimentos han sido muy similares. Por otro lado, esto también ha supuesto una ayuda a la hora de terminar de enfocar nuestro experimento.
116697;21/12/2021 12:12:25;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo16;;1 : Biochemistry;4;3;2;1;3;5;2;3;3;3;3;5;4;3;4;5;3;4;3;5;1;2;2;3;1;5;4;1;1;1;2;3;3;2;2;5;5;5;5;1;3;4;1;3;4;4;3;5;5;Se puede contar con otros profesores que resuelvan tus dudas, así como con los becarios.Autonomía en el laboratorio.  ;Mi supervisor desconoce mi proyecto y no muestra interés por la evolución del mismo (demasiada autonomía cuando es la primera vez que estamos en un laboratorio sin un guión).No informa de errores graves que se están cometiendo (confundimos réplicas técnicas con biológicas y no se nos informó del error para poder rectificarlo y así poder analizar correctamente nuestros datos).  No tenemos los conocimientos necesarios para analizar los datos de laboratorio de forma estadística.;;5;3;5;5;5;2;2;1;2;2;5;5;2;3;4;4;3;5;5;4;3;2;;Organización del experimentos diarios.  ;Estábamos muy perdidos en cuanto al estimar el tiempo para cada experimento, por lo que calculamos hacia arriba (como se nos recomendó). Al final todos los días terminábamos antes del tiempo estimado.
116684;21/12/2021 12:11:17;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo17;;1 : Biochemistry;5;2;5;1;4;4;2;3;3;3;2;5;5;4;5;5;3;5;3;5;2;4;5;5;2;4;4;1;2;3;3;1;2;2;-1;5;5;5;4;4;5;4;4;5;4;3;4;4;5;Aprender a trabajar en equipo.  Participar en el proceso de diseñar un experimento desde cero (es un aspecto bastante positivo con respecto al método tradicional, por lo que considero que estás prácticas son bastante útiles a la hora de prepararnos para trabajar en un laboratorio).  ;Algunos profesores no estaban muy pendientes del grupo que supervisaban y por lo tanto no conocían los problemas que estaban teniendo a la hora del desarrollo experimental y de la obtención de resultados.  Dado que la mayoría de los grupos tuvieron que realizar una qPCR, se podría haber dedicado tiempo a enseñar como analizar los resultados, debido a que nosotros no sabíamos como hacerlo. A pesar de que en moodle estuviera colgado un PDF sobre como analizarla qPCR, considero que es mejor opción dedicar una clase a explicarlo en el aula y así poder resolver las dudas en el momento, porque hubo algunos problemas en cuanto a cómo analizar esos resultados (ya que era algo que no se había visto en las clases teóricas).;;1;3;5;5;4;3;2;2;3;3;5;3;1;4;4;5;5;3;4;5;3;4;Pros: a la hora de la obtención de resultados de algún paso del experimento, si no habían salido los esperados, se podía comparar con otro grupo al que si le hubiesen salido correctamente y así poder analizar donde habíamos fallado e intentar solucionarlo.  Contras: el límite de páginas para los resultados de cada experimento considero que es poco, pues se necesita comentar las figuras que añades y además poner una conclusión.;;
116661;21/12/2021 12:07:20;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo18;;3 : Transcription;2;1;4;1;5;5;3;3;3;3;2;5;5;5;5;3;4;5;3;4;5;5;5;5;4;5;5;2;2;2;2;2;2;2;-1;5;4;3;1;3;5;5;3;5;5;5;3;4;4;Aprendimos a diseñar nuestros propios experimentos y nuestros propios protocolos, algo que nunca se hace en otros tipos de prácticas.;No se me ocurre ninguno.;;2;5;5;2;5;5;5;5;5;5;4;1;1;4;2;5;3;5;3;5;2;4;;Pudimos orientar mejor nuestra hipótesis y nuestros objetivos, y diseñar experimentos centrándonos en responder a nuestras preguntas.;Como hay ciertas técnicas que nunca hemos usado antes, no es fácil saber qué vas a necesitar ni cómo diseñar correctamente tus experimentos.
116675;21/12/2021 12:10:34;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo19;;5 : Flies;5;5;4;3;3;2;2;2;3;3;2;5;5;5;5;5;5;5;5;5;4;3;4;5;5;5;5;2;2;2;2;2;2;2;5;5;5;5;-1;1;5;5;5;5;5;5;5;5;5;Aprender a hacer un diseño experimental.  Trabajar en un grupo.  Resolver problemas que surgen en el desarrollo experimental.  ;Plantilla de cuaderno.  Examen final.  ;;1;4;5;1;1;4;4;4;5;5;4;3;2;1;3;1;3;1;1;5;3;3;La plantilla no nos ha parecido de ayuda. Hemos decidido seguir otra estructura que nos parece más sencilla, pero intentando incluir las diferentes secciones para la evaluación.  Tener la plataforma OneNote sí que nos ha permitido facilitar el trabajo grupal para anotar las tareas realizadas durante cada día.  ;Nuestra preparación de proyecto de grupo de Moscas fue necesaria y útil y la presentación entre grupos de trabajo (presentación de propuesta de proyectos: moscas, transcripción ...)  nos sirvió para ver cómo estaban planteando el resto de equipos sus proyectos experimentales.  ;La discusión de presentación de propuestas de proyecto (entre grupos) se desvió un poco hacia el análisis de cómo decir las cosas más que hacia la discusión de los diseños experimentales de cada grupo.  
116668;21/12/2021 12:09:28;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo20;;2 : Metabolism;4;3;4;2;3;4;3;3;2;3;3;4;4;4;3;4;2;5;2;3;4;3;4;5;3;4;3;2;2;2;3;2;2;3;2;4;5;4;3;2;4;4;3;3;3;4;2;4;3;Acercamiento al entorno de un laboratorio profesionalCapacidad para realizar un cuaderno de laboratorioManejo de material de laboratorio.;No se ha enfatizado en qué criterios hay que seguir para realizar una buena bibliografíaTodavía no tenemos la capacidad de sacar conclusiones ante resultados no esperadosCreo que no ha habido una integración suficiente de las ramas de laboratorio.;;3;2;3;4;4;3;4;3;3;3;5;2;2;4;2;3;3;3;3;4;3;4;Pros:El hecho de poder observar cómo lo estaban planteando el resto de grupos nos permite tener una idea de cómo debería ir orientado nuestro experimento.Nos permite tener todos los integrantes del grupo lo que realizamos diariamenteel hecho de separar el contenido en secciones nos pareció muy cómodoContras:El hecho de no poder editar en un mismo documento, dificultaba la fluidez del cuadernoLa disposición de las imágenes y las tablas es algo rígida.;Nos pareció muy útil establecer unas pautas a seguir ya que el experimento se diseña desde 0.Nos permitió integrar ideas que convergían.  ;Ninguno.
116670;21/12/2021 12:05:22;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo21;;4 : Yeast;2;3;2;2;4;3;3;3;3;3;3;5;5;5;4;3;5;5;3;5;3;3;3;3;3;4;4;1;2;2;2;3;3;3;4;4;5;5;5;-1;4;4;4;3;3;3;4;3;5;Enfrentarte a un trabajo real de laboratorio, es decir, como se trabaja de verdad y los pasos que hay que seguir;Más tiempo para realizar el experimentos ya que nos pasamos una semana debatiendo cosas que se podrían hacer más rápido y algunas no eran relevantes para el momento, es decir, que se podrían decir al finalizar para no perder   tiempo experimental   ;;5;4;2;3;5;5;3;5;5;5;2;5;3;4;3;4;4;5;1;3;3;5;Hay activar la papelera porque se pueden borrar ciertas cosas y no se pueden recuperar después, nuestro grupo se eliminó el diario de laboratorio y al no tener la papelera no se pudo hacer nada  ;;
116674;21/12/2021 12:09:05;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo22;;4 : Yeast;4;3;2;1;4;4;3;3;3;3;2;4;5;3;5;5;5;5;4;4;2;3;1;1;1;1;4;1;2;1;1;2;2;2;3;4;4;4;3;-1;4;4;5;3;4;5;5;4;4;- Es una forma práctica de aplicar nuestros conocimientos a una situación real- Posibilidad de trabajar en equipo y contrastar opiniones-Elaboración conjunta del cuaderno;-Muchas reuniones que podrían comprimirse en dos días conjuntos-Poca coordinación y organización a nivel de todos los grupos. Por ejemplo: nº de representantes en las presentaciones, pregunta general o especifica, etc.;-Más información de las ramas a eligir antes de entrar a los grupos;3;2;4;4;5;3;3;2;4;4;5;5;3;3;3;3;3;4;3;5;3;2;Contras:-Las imagenes y los cuadro de texto aparecen en diferentes posiciones para cada miembro del grupo, luego al intentar corregirlo generaba un caos.-No salen los cambios y hay problemas de coordinacion si hay variosPro:-Las subdivisiones y pestañas facilitan la organización;- Feedback constante lo cual permitía ir modficando el cuaderno de manera progresiva ;-Invertimos demasiado tiempo en elaborar la hipótesis.-No se nos indicó que podíamos o no podíamos hacer. Ej: no se nos permitió hacer un KO, no pudimos utilizar anticuerpos contra moléculas que no existieran ya de otros años, etc. 
116694;21/12/2021 12:11:11;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo23;;1 : Biochemistry;3;3;4;2;5;5;3;3;3;3;3;5;4;4;4;4;5;5;1;5;5;5;2;4;4;5;5;2;2;3;3;2;3;2;3;5;5;5;4;2;3;3;3;3;4;4;2;4;4;Proporciona más autonomía en el laboratorio, nos ha ayudado a aprender como realizar cuadernos de laboratorio correctamente para nuestros futuros experimentos y averiguar nosotros mismos de que manera y con que experimentos podemos abordar la resolución de nuestra pregunta.Los tutores han sido muy atentos y nos han dado buena orientación.;Muchas veces nos encontrábamos un poco perdidos por la corta organización previa. Hemos pensado mucho sobre la marcha a medida que no salían las cosas.  Hasta el final de las prácticas no hemos hecho una puesta en común. Habría sido mas favorable, para mi personalmente, hacer puestas en común cortas cada vez que termina una semana para conocer por donde va cada grupo y poder hacer cosas a la vez (como correr geles con muestras de dos grupos diferentes o poner qPCR juntos).  Ha sido un poco frustrante conocer al final de las prácticas los errores que hemos cometido, errores de procedimiento por ejemplo, y que no haya sido posible ir viéndolo a lo largo de las semanas para ir corrigiendo estos errores y obtener un mejor resultado.;Me hubiera ayudado mucho hacer una puesta en común cada semana, aunque sea muy cortita. De esta manera, los tutores nos podrían haber expresado que errores veían y en alguna ocasión seguro que estábamos a tiempo de repetirlo para mejorar el resultado.Los ayudantes del laboratorio han sido muy eficientes y nos han sido de mucha ayuda durante todas las semanas. Nos han ayudado en todo momento y nos han ayudado también a entender en lo que nos estaban ayudando. Estaban muy pendientes y han conseguido que sea muy bueno el ambiente en el laboratorio.;2;3;4;5;2;3;3;5;5;3;3;3;1;2;1;5;4;4;4;5;3;5;Con el OneNote una de las ventajas es que se puede utilizar para la comunicación entre los miembros del grupo en todo momento, es una herramienta para escribir todo lo que sea necesario y que sea común para todos los miembros del grupo.Un contra es que no se vea la pantalla como la hoja de Word y daba un poco de confusión con respecto a las dimensiones de la hoja.;;
116676;21/12/2021 12:08:36;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo24;;5 : Flies;5;2;3;2;2;2;3;3;3;3;3;3;5;4;5;4;5;4;4;5;2;3;4;5;1;4;4;1;2;3;3;1;3;2;3;3;4;4;4;1;4;5;3;4;4;4;4;3;4;Los aspectos mas positivos de esta experiencia han sido la capacidad de trabajar en un ambiente de laboratorio real, donde los estudiantes hemos podido participar tanto el planteamiento, diseño y desarrollo de los experimentos ,y donde hemos aprendido a desarrollar cierta capacidad de autonomia el laboratorioAsi mismo, las practicas siguiendo este modelo son utiles para implicar el pensamiento critico del estudiante a la hora de analizar resultados y comprender los posible errores que se hayan podido realizar durante un procedimiento experimental.;El mayor problema de este curso ha sido la falta de tiempo para poder finalizar los experimentos planteados, partiendo de que no solo se ha de realizar trabajo a nivel del laboratorio, sino tambien a nivel de diseño de experimentos, los cuales pueden ser de alta complejidad y requerir mucho tiempo en caso de tener que repetirse.;Las sesiones de puesta en comun de los proyectos han sido de escasa utilidad, puesto que se han enfocado en cuestiones banales sobre el planteamiento de las hipotesis antes que en el objetivo de poner en comun las lineas de investigacion entre los diferentes grupos y facilitar la integracion de los conocimientos adquiridos.;4;4;2;3;4;4;4;4;4;4;4;4;3;3;2;-999;-999;-999;-999;-999;-999;-999;La principal ventaja que aporta OneNote es el trabajo colaborativo tanto entre miembros de los subrgrupos como de todos los grupos en general, lo cual permite poner los diferentes protocolos y resultados desarrollados durante el trabajo de laboratorio en comun para que todos puedan estar al tanto de las diferentes lineas de trabajo que se estan siguiendo, y poder ayudarse unos a otros a tener una vision general del proyecto.;;
116665;21/12/2021 12:09:13;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo25;;5 : Flies;4;2;5;1;4;2;3;3;3;3;2;5;5;3;5;3;5;5;3;5;5;3;5;5;1;5;5;2;2;2;2;1;2;2;-1;4;4;4;-1;2;4;5;3;5;5;4;4;4;5;Este periodo de prácticas creo que nos ha enseñado realmente a movernos en situaciones más próximas a la realidad, donde uno tiene que plantearse lo que quiere, cómo lo quiere, qué debe hacer para tenerlo, etc. Esto, hasta este momento no había sucedido en prácticas previas que habíamos tenido otros cursos.En nuestro caso en particular el ambiente que había en el laboratorio era bastante bueno. La gente trataba de ayudarse mutuamente y de esa forma aprendíamos todos.;Igual podría ser la disparidad de criterios en algunas cosas entre profesores, que lejos de solventar dudas desconcertaban al alumnado.;;2;5;4;2;3;5;4;4;5;5;4;5;2;5;2;3;4;3;3;5;4;5;El hecho de que cualquier alumno pueda acceder sin problema a las notas de cualquier grupo podría no ser positivo.;;
116681;21/12/2021 12:05:18;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo26;;3 : Transcription;2;1;3;1;3;3;3;3;3;3;3;5;5;5;5;4;4;5;3;5;4;4;5;5;1;5;5;2;2;2;2;1;2;2;-1;1;4;4;4;1;4;4;3;4;4;4;3;2;5;Me he involucrado mucho más en estas prácticas en comparación con las del método tradicional.Me parece que se adquiere una capacidad de razonamiento científico mucho mayor.Todas las prácticas deberían seguir este modelo. Estaría bien que en el segundo cuatrimestre pudiésemos seguir investigandoGracias!!;Creo que la sesión donde discutimos la hipótesis de los demás grupos no es útil. Es muy subjetivo y a veces ni el profesorado se ponía de acuerdo a la hora de enseñarnos cómo escribir una hipótesis. Todas las ramas tenían opiniones diferentes a la hora de elaborar una hipótesis y habían recibido instrucciones diferentes.;Igual estaría bien introducir unos meses antes del inicio de las prácticas la ruta que se va a estudiar y los materiales de los que se dispone para que los alumnos vayan leyendo artículos y pensando qué quieren investigar.  ;5;3;2;3;4;3;3;4;4;3;4;4;3;5;5;4;3;4;3;2;2;3;;;
116682;21/12/2021 12:11:21;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo27;;2 : Metabolism;4;2;4;1;5;4;2;2;3;3;3;5;5;5;4;2;3;3;2;5;2;2;4;5;5;3;3;1;1;2;2;1;1;2;3;1;3;4;2;-1;4;4;3;4;4;5;4;4;5;Es un curso muy útil para desarrollar competencias de manejo en grupo de manera independiente en el laboratorio. Se adquieren conocimientos sobre el método científico y el protocolo de trabajo en investigación, de análisis de resultados y de comportamiento general en un laboratorio.  ;Se echan en falta algunas explicaciones adicionales sobre procesamiento de datos y análisis de resultados (como en el caso de la qPCR).;Los profesores están muy pendientes y disponibles en todo momento para ayudar al alumnado, pero a veces sus opiniones sobre cómo proceder en un determinado experimento son contradictorias.;1;4;3;4;5;4;3;3;4;4;1;3;3;4;1;3;3;3;3;3;3;4;A veces hay fallos en la sincronización, pero por lo general su funcionamiento es muy rápido y permite un funcionamiento colaborativo bastante bueno. En el esquema de cómo ha de ser el cuaderno es algo repetitiva la sección de diseño experimental y la de lab record en el caso de que sea necesario poner lo mismo. Se echan en falta algunas de las funciones de procesado de textos (como en Word).;Ayudan a poner en conjunto diferentes perspectivas, a observar el mismo problema desde diferentes visiones y a llegar a conclusiones comunes.;Las diferentes ramas han recibido diferentes indicaciones en sus respectivos laboratorios y se ha hecho especialmente difícil llegar a una conclusión en determinados casos.
116671;21/12/2021 12:10:36;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo28;;4 : Yeast;3;2;3;2;3;3;3;3;3;3;3;5;4;4;4;5;5;5;3;5;4;3;2;4;4;3;5;1;2;2;2;2;3;3;5;5;5;5;5;-1;4;4;3;4;4;4;4;5;5;Me parece una muy buena manera para que los alumnos se hagan una idea como funciona un laboratorio en la realidad.;En ocasiones, ha habido un poco de descontrol en general.Quizá hemos pasado demasiado tiempo en el aula para algunas explicaciones, aunque en otras considero que era necesario.;Estaría bien que de entrada quedara claro que experimentos son viables en el tiempo que transcurren las prácticas.Además, los espacios de trabajo son un poco demasiado reducidos y trabajar con 1 pipeta de cada tipo por grupo ha sido un poco complicado.;5;4;4;3;5;3;4;2;4;4;2;2;2;5;5;5;5;2;3;3;4;4;Tuvimos un problema y perdimos nuestro diario. Fue un error que debió de ser puntual, pero de cara al año que viene, conviene que esté activada la papelera.;Nos ubicó un poco en la temática elegida y nos ayudó a empezar a diseñar los experimentos.;Se hicieron un poco largos y al no tener muy claro que experimentos eran viables o que cepas celulares estaban disponibles, fue un poco desesperante.
